pos,offense,off_pct,defense,def_pct,special_teams,st_pct,player_id,player_name,team
CB,0,0%,516,49.10%,212,47.75%,ThomJo01,Josh Thomas,car
CB,0,0%,158,15.03%,63,14.19%,DockJa00,James Dockery,car
SS,0,0%,985,93.72%,80,18.02%,GodfCh99,Charles Godfrey,car
SS,0,0%,245,23.31%,39,8.78%,CampD.00,D.J. Campbell,car
FS,0,0%,591,56.23%,180,40.54%,NakaHa99,Haruki Nakamura,car
FS,0,0%,22,2.09%,250,56.31%,JoneCo01,Colin Jones,car
FS,0,0%,272,25.88%,149,33.56%,MartSh99,Sherrod Martin,car
DB,0,0%,1,.10%,30,6.76%,RussAn01,Anderson Russell,car
DB,0,0%,0,0%,24,5.41%,ParkRo01,Ron Parker,car
LS,0,0%,0,0%,145,32.66%,JansJ.00,J.J. Jansen,car
K,0,0%,0,0%,67,15.09%,GanoGr44,Graham Gano,car
K,0,0%,0,0%,74,16.67%,MedlJu20,Justin Medlock,car
P,0,0%,0,0%,146,32.88%,NortBr00,Brad Nortman,car
QB,920,87.95%,0,0%,0,0%,CutlJa00,Jay Cutler,chi
QB,126,12.05%,0,0%,0,0%,CampJa00,Jason Campbell,chi
RB,693,66.25%,0,0%,0,0%,FortMa00,Matt Forte,chi
RB,64,6.12%,0,0%,31,6.84%,BellKa00,Kahlil Bell,chi
RB,248,23.71%,0,0%,0,0%,BushMi00,Michael Bush,chi
RB,49,4.68%,0,0%,195,43.05%,AlleAr00,Armando Allen,chi
FB,213,20.36%,0,0%,100,22.08%,RodrEv00,Evan Rodriguez,chi
WR,969,92.64%,1,.10%,1,.22%,MarsBr00,Brandon Marshall,chi
WR,431,41.20%,0,0%,3,.66%,JeffAl00,Alshon Jeffery,chi
WR,361,34.51%,0,0%,134,29.58%,HestDe99,Devin Hester,chi
WR,418,39.96%,0,0%,30,6.62%,BennEa00,Earl Bennett,chi
WR,129,12.33%,0,0%,307,67.77%,WeemEr00,Eric Weems,chi
WR,65,6.21%,0,0%,7,1.55%,SanzDa00,Dane Sanzenbacher,chi
WR,0,0%,0,0%,43,9.49%,AndeJo00,Joe Anderson,chi
TE,956,91.40%,0,0%,72,15.89%,DaviKe01,Kellen Davis,chi
TE,418,39.96%,0,0%,106,23.40%,SpaeMa00,Matt Spaeth,chi
TE,168,16.06%,0,0%,104,22.96%,AdamKy00,Kyle Adams,chi
T,1046,100.00%,0,0%,74,16.34%,WebbJM20,J'Marcus Webb,chi
T,915,87.48%,0,0%,26,5.74%,CariGa00,Gabe Carimi,chi
T,6,.57%,0,0%,14,3.09%,WillCh03,Chris Williams,chi
T,334,31.93%,0,0%,57,12.58%,ScotJo22,Jonathan Scott,chi
T,215,20.55%,0,0%,0,0%,BrowJa02,James Brown,chi
G,692,66.16%,0,0%,53,11.70%,LouiLa20,Lance Louis,chi
G,512,48.95%,0,0%,41,9.05%,RachCh20,Chilo Rachal,chi
C,1046,100.00%,0,0%,74,16.34%,GarzRo20,Roberto Garza,chi
C,345,32.98%,0,0%,5,1.10%,SpenCh21,Chris Spencer,chi
C,152,14.53%,0,0%,21,4.64%,WillEd02,Edwin Williams,chi
DE,0,0%,783,74.50%,56,12.36%,PeppJu99,Julius Peppers,chi
DE,0,0%,711,67.65%,130,28.70%,IdonIs20,Israel Idonije,chi
DE,0,0%,365,34.73%,15,3.31%,McClSh00,Shea McClellin,chi
DE,0,0%,573,54.52%,138,30.46%,WootCo99,Corey Wootton,chi
DE,0,0%,23,2.19%,1,.22%,OzouCh00,Cheta Ozougwu,chi
DT,0,0%,607,57.75%,42,9.27%,MeltHe99,Henry Melton,chi
DT,0,0%,229,21.79%,10,2.21%,OkoyAm99,Amobi Okoye,chi
DT,0,0%,241,22.93%,1,.22%,CollNa20,Nate Collins,chi
NT,0,0%,595,56.61%,3,.66%,PaeaSt00,Stephen Paea,chi
NT,0,0%,77,7.33%,6,1.32%,ToeaMa99,Matt Toeaina,chi
LB,0,0%,1007,95.81%,1,.22%,BrigLa99,Lance Briggs,chi
LB,0,0%,697,66.32%,191,42.16%,RoacNi99,Nick Roach,chi
LB,0,0%,138,13.13%,273,60.26%,HayeGe98,Geno Hayes,chi
LB,0,0%,716,68.13%,40,8.83%,UrlaBr00,Brian Urlacher,chi
LB,0,0%,36,3.43%,297,65.56%,CostBl20,Blake Costanzo,chi
LB,0,0%,8,.76%,336,74.17%,ThomJ.02,J.T. Thomas,chi
